date,year,quarter,hosr,FEDFUNDS,MSPUS,GDPC1,PAYEMS,CPIAUCSL,UNRATE,UMCSENT,DSPIC96,PERMIT,ICSA,SP500
2003-10-01,2003,Q4,68.5,0.9966666666666667,198800.0,14131.379,130505.33333333333,185.13333333333333,5.833333333333333,91.96666666666665,10452.766666666666,1972.3333333333333,367384.6153846154,1056.45250128125
2004-01-01,2004,Q1,68.7,1.0033333333333332,212700.0,14212.34,130912.0,186.70000000000002,5.7,98.0,10499.199999999999,1994.6666666666667,354769.23076923075,1132.6712862741936
2004-04-01,2004,Q2,69.4,1.01,217600.0,14323.017,131632.66666666666,188.16666666666666,5.599999999999999,93.33333333333333,10608.233333333332,2080.0,343846.1538461539,1123.1964564032257
2004-07-01,2004,Q3,68.9,1.4333333333333333,213500.0,14457.832,131959.33333333334,189.36666666666667,5.433333333333334,95.60000000000001,10684.333333333334,2069.6666666666665,340538.46153846156,1103.908279453125
2004-10-01,2004,Q4,69.1,1.95,228800.0,14605.595,132524.66666666666,191.4,5.433333333333334,93.86666666666667,10819.199999999999,2086.0,329692.3076923077,1162.6520328125
2005-01-01,2005,Q1,69.2,2.47,232500.0,14767.846,132987.33333333334,192.36666666666667,5.3,94.06666666666666,10688.266666666666,2105.0,330153.8461538461,1191.9478679508195
2005-04-01,2005,Q2,68.7,2.9433333333333334,233700.0,14839.707,133716.66666666666,193.66666666666666,5.1000000000000005,90.2,10792.033333333333,2137.6666666666665,325153.8461538461,1181.974056234375
2005-07-01,2005,Q3,68.7,3.4599999999999995,236400.0,14956.291,134453.33333333334,196.6,4.966666666666667,87.5,10837.1,2228.3333333333335,339692.3076923077,1224.174377453125
2005-10-01,2005,Q4,68.9,3.98,243600.0,15041.232,134932.33333333334,198.4333333333333,4.966666666666667,82.43333333333334,10928.066666666666,2169.3333333333335,329428.5714285714,1230.468253984127
2006-01-01,2006,Q1,68.6,4.456666666666667,247700.0,15244.088,135737.66666666666,199.46666666666667,4.733333333333333,88.93333333333334,11147.933333333334,2157.0,296083.3333333333,1283.6550016612903
